0.001078 	 -30.947287 
1079.231077 	 -30950.841232 
4305.364930 	 -61707.181051 
9656.794106 	 -92138.219616 
17097.868667 	 -122085.296327 
26579.410107 	 -151394.294028 
38039.406458 	 -179916.997574 
51403.868372 	 -207512.327890 
66587.820820 	 -234047.430348 
83496.402321 	 -259398.602017 
102026.042194 	 -283452.048175 
122065.686248 	 -306104.464340 
143498.042393 	 -327263.445478 
166200.819779 	 -346847.728878 
190047.937945 	 -364787.281239 
214910.685861 	 -381023.243651 
240658.814487 	 -395507.750398 
267161.550252 	 -408203.638924 
294288.520572 	 -419084.068804 
321910.585949 	 -428132.067500 
349900.576296 	 -435340.019942 
378133.931780 	 -440709.117837 
406489.250698 	 -444248.783188 
434848.748636 	 -445976.078832 
463098.634497 	 -445915.117075 
491129.409879 	 -444096.475777 
518836.098881 	 -440556.629538 
546118.415665 	 -435337.402047 
572880.877145 	 -428485.444241 
599032.868006 	 -420051.741603 
624488.664950 	 -410091.152831 
649167.426659 	 -398661.981134 
672993.155477 	 -385825.578611 
695894.636310 	 -371645.983533 
717805.357700 	 -356189.589783 
738663.419513 	 -339524.847342 
758411.431161 	 -321721.992366 
776996.403811 	 -302852.805202 
794369.639570 	 -282990.394522 
810486.620237 	 -262209.005657 
825306.897841 	 -240583.851184 
838793.988838 	 -218190.961790 
850915.273566 	 -195107.055447 
861641.902288 	 -171409.422985 
870948.708918 	 -147175.828168 
878814.133348 	 -122484.420471 
885220.153110 	 -97413.658752 
890152.224972 	 -72042.244135 
893599.236920 	 -46449.060420 
895553.470904 	 -20713.120406 
896010.576597 	 5086.483454 
894969.556339 	 30870.625627 
892432.761373 	 56560.192821 
888405.899385 	 82076.129595 
882898.053307 	 107339.485774 
875921.711235 	 132271.467216 
867492.807276 	 156793.491478 
857630.773007 	 180827.249994 
846358.599153 	 204294.778382 
833702.906975 	 227118.536567 
819694.028705 	 249221.500447 
804366.096248 	 270527.266906 
787757.137152 	 290960.173985 
